Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,
Odour1.1,11,20.4,90.6,,,,
Odour1.2,17,35.1,258.4,,,,
Odour1.3,8,14.9,452.7,,,,"1.1 - frozen foreever, smells 1.2 and 2.2 a LOT"
Eexample,0,0,0,,,,
Fexample,0,0,0,,,,
Gexample,0,0,0,,,,
Hexample,0,0,0,,,,
Iexample,0,0,0,,,,
Odour2.1,6,14.2,665.6,,,,
Odour2.2,3,14.5,871.6,,,,
Odour2.3,9,10.1,1077.2,,,,
Mexample,0,0,0,,,,
Nexample,0,0,0,,,,
Oexample,0,0,0,,,,
Pexample,0,0,0,,,,
Qexample,0,0,0,,,,
Odour3.1,10,13.8,1279.8,,,,
Odour3.2,4,2.8,1462,,,,
Odour3.3,4,3.8,1670.1,,,,
Bexample,0,0,0,,,,
Cexample,0,0,0,,,,
Uexample,0,0,0,,,,
Vexample,0,0,0,,,,
Wexample,0,0,0,,,,
Xexample,0,0,0,,,,
Zexample,0,0,0,,,,
Change,0,0,0,,,,
Codes,0,0,0,,,,
in,0,0,0,,,,
Configfile,0,0,0,,,,
