Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),
Odour1.1,10,12.9,70.3
Odour1.2,14,18.3,271.1
Odour1.3,3,1.9,481.8
Eexample,0,0,0
Fexample,0,0,0
Gexample,0,0,0
Hexample,0,0,0
Iexample,0,0,0
Odour2.1,8,15.1,659.6
Odour2.2,9,13.9,869.3
Odour2.3,1,0.5,1090.5
Mexample,0,0,0
Nexample,0,0,0
Oexample,0,0,0
Pexample,0,0,0
Qexample,0,0,0
Odour3.1,7,25.4,1269.4
Odour3.2,14,21.5,1445.0
Odour3.3,8,11.5,1657.6
Bexample,0,0,0
Cexample,0,0,0
Uexample,0,0,0
Vexample,0,0,0
Wexample,0,0,0
Xexample,0,0,0
Zexample,0,0,0
Change,0,0,0
Codes,0,0,0
in,0,0,0
Configfile,0,0,0
