Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),
Odour1.1,20,33.2,80.8
Odour1.2,12,17.7,259.0
Odour1.3,8,14.0,456.7
Eexample,0,0,0
Fexample,0,0,0
Gexample,0,0,0
Hexample,0,0,0
Iexample,0,0,0
Odour2.1,7,12.5,650.0
Odour2.2,2,9.2,843.4
Odour2.3,1,5.3,1033.7
Mexample,0,0,0
Nexample,0,0,0
Oexample,0,0,0
Pexample,0,0,0
Qexample,0,0,0
Odour3.1,10,12.0,1220.8
Odour3.2,4,9.2,1424.0
Odour3.3,10,8.3,1613.4
Bexample,0,0,0
Cexample,0,0,0
Uexample,0,0,0
Vexample,0,0,0
Wexample,0,0,0
Xexample,0,0,0
Zexample,0,0,0
Change,0,0,0
Codes,0,0,0
in,0,0,0
Configfile,0,0,0
