Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),
Odour1.1,13,32.9,168.4
Odour1.2,4,13.7,339.4
Odour1.3,6,25.0,534.9
Eexample,0,0,0
Fexample,0,0,0
Gexample,0,0,0
Hexample,0,0,0
Iexample,0,0,0
Odour2.1,7,15.7,739.7
Odour2.2,13,35.1,958.5
Odour2.3,3,1.5,1132.4
Mexample,0,0,0
Nexample,0,0,0
Oexample,0,0,0
Pexample,0,0,0
Qexample,0,0,0
Odour3.1,11,26.4,1334.6
Odour3.2,6,3.8,1531.0
Odour3.3,6,10.9,1739.8
Bexample,0,0,0
Cexample,0,0,0
Uexample,0,0,0
Vexample,0,0,0
Wexample,0,0,0
Xexample,0,0,0
Zexample,0,0,0
Change,0,0,0
Codes,0,0,0
in,0,0,0
Configfile,0,0,0
