Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,
Odour1.1,16,14.4,149,,,,
Odour1.2,5,5.1,357,,,,
Odour1.3,0,0,0,,,,
Eexample,0,0,0,,,,"Ignored 1.3, 2.3, 3.3"
Fexample,0,0,0,,,,
Gexample,0,0,0,,,,
Hexample,0,0,0,,,,
Iexample,0,0,0,,,,
Odour2.1,23,22.7,731.6,,,,
Odour2.2,11,11,921.1,,,,
Odour2.3,0,0,0,,,,
Mexample,0,0,0,,,,
Nexample,0,0,0,,,,
Oexample,0,0,0,,,,
Pexample,0,0,0,,,,
Qexample,0,0,0,,,,
Odour3.1,12,9.8,1336.8,,,,
Odour3.2,8,4.9,1503.8,,,,
Odour3.3,0,0,0,,,,
Bexample,0,0,0,,,,
Cexample,0,0,0,,,,
Uexample,0,0,0,,,,
Vexample,0,0,0,,,,
Wexample,0,0,0,,,,
Xexample,0,0,0,,,,
Zexample,0,0,0,,,,
Change,0,0,0,,,,
Codes,0,0,0,,,,
in,0,0,0,,,,
Configfile,0,0,0,,,,
