Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,
Odour1.1,10,19.2,116.6,,,,,,
Odour1.2,2,2.7,307.6,,,,,,
Odour1.3,2,0.7,539.6,,,,,,
Eexample,0,0,0,,,,,,Ignored 3.3 - fell asleep
Fexample,0,0,0,,,,,,Good run otherwise
Gexample,0,0,0,,,,,,
Hexample,0,0,0,,,,,,
Iexample,0,0,0,,,,,,
Odour2.1,11,14.6,682.2,,,,,,
Odour2.2,9,13.4,895,,,,,,
Odour2.3,2,5.6,1082.5,,,,,,
Mexample,0,0,0,,,,,,
Nexample,0,0,0,,,,,,
Oexample,0,0,0,,,,,,
Pexample,0,0,0,,,,,,
Qexample,0,0,0,,,,,,
Odour3.1,8,16.7,1271.8,,,,,,
Odour3.2,1,1,1519.2,,,,,,
Odour3.3,0,0,0,,,,,,
Bexample,0,0,0,,,,,,
Cexample,0,0,0,,,,,,
Uexample,0,0,0,,,,,,
Vexample,0,0,0,,,,,,
Wexample,0,0,0,,,,,,
Xexample,0,0,0,,,,,,
Zexample,0,0,0,,,,,,
Change,0,0,0,,,,,,
Codes,0,0,0,,,,,,
in,0,0,0,,,,,,
Configfile,0,0,0,,,,,,
