Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),
Odour1.1,14,19.0,103.5
Odour1.2,7,5.3,285.4
Odour1.3,3,1.2,486.2
Eexample,0,0,0
Fexample,0,0,0
Gexample,0,0,0
Hexample,0,0,0
Iexample,0,0,0
Odour2.1,14,19.7,704.2
Odour2.2,6,2.5,890.1
Odour2.3,5,5.5,1098.5
Mexample,0,0,0
Nexample,0,0,0
Oexample,0,0,0
Pexample,0,0,0
Qexample,0,0,0
Odour3.1,8,9.4,1316.4
Odour3.2,6,3.4,1518.1
Odour3.3,2,0.7,1709.9
Bexample,0,0,0
Cexample,0,0,0
Uexample,0,0,0
Vexample,0,0,0
Wexample,0,0,0
Xexample,0,0,0
Zexample,0,0,0
Change,0,0,0
Codes,0,0,0
in,0,0,0
Configfile,0,0,0
