Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,
Odour1.1,12,29.2,167.9,,,,,
Odour1.2,8,19.3,403.6,,,,,
Odour1.3,7,27.1,581.6,,,,,
Eexample,0,0,0,,,,,
Fexample,0,0,0,,,,,"1.1 and 1.2 - reaches out for the bud, reaches - 1.3 and 2.1"
Gexample,0,0,0,,,,,2.2 - fell throough when applied
Hexample,0,0,0,,,,,"very low interest in 3.1, ignored 3.2 and 3.3"
Iexample,0,0,0,,,,,
Odour2.1,8,19.5,782.6,,,,,
Odour2.2,4,7,1041.5,,,,,
Odour2.3,0,0,0,,,,,
Mexample,0,0,0,,,,,
Nexample,0,0,0,,,,,
Oexample,0,0,0,,,,,
Pexample,0,0,0,,,,,
Qexample,0,0,0,,,,,
Odour3.1,2,9,1472.4,,,,,
Odour3.2,0,0,0,,,,,
Odour3.3,0,0,0,,,,,
Bexample,0,0,0,,,,,
Cexample,0,0,0,,,,,
Uexample,0,0,0,,,,,
Vexample,0,0,0,,,,,
Wexample,0,0,0,,,,,
Xexample,0,0,0,,,,,
Zexample,0,0,0,,,,,
Change,0,0,0,,,,,
Codes,0,0,0,,,,,
in,0,0,0,,,,,
Configfile,0,0,0,,,,,
