Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,
Odour1.1,18,13.7,105.1,,,
Odour1.2,1,0.3,379.8,,,
Odour1.3,0,0,0,,,
Eexample,0,0,0,,,1.2 - mouse froze
Fexample,0,0,0,,,1.3 - frozen/ignores
Gexample,0,0,0,,,2.1 - plays
Hexample,0,0,0,,,3.1 - ignored
Iexample,0,0,0,,,3.2 - ignored
Odour2.1,16,29.2,687.3,,,3.3 - ignored
Odour2.2,9,23.6,885.8,,,
Odour2.3,4,4.5,1080.6,,,
Mexample,0,0,0,,,
Nexample,0,0,0,,,
Oexample,0,0,0,,,
Pexample,0,0,0,,,
Qexample,0,0,0,,,
Odour3.1,0,0,0,,,
Odour3.2,0,0,0,,,
Odour3.3,0,0,0,,,
Bexample,0,0,0,,,
Cexample,0,0,0,,,
Uexample,0,0,0,,,
Vexample,0,0,0,,,
Wexample,0,0,0,,,
Xexample,0,0,0,,,
Zexample,0,0,0,,,
Change,0,0,0,,,
Codes,0,0,0,,,
in,0,0,0,,,
Configfile,0,0,0,,,
