Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,
Odour1.1,13,21.7,151.1,,,,,
Odour1.2,8,10.3,350.4,,,,,
Odour1.3,11,17.8,580.6,,,,,
Eexample,0,0,0,,,,,
Fexample,0,0,0,,,,,1.3 - bites not counted but plays with the bud
Gexample,0,0,0,,,,,2.3 - ignored
Hexample,0,0,0,,,,,"3.3 - ignored - had two buds, one for 40s and one for 2 mins, ignored both of them"
Iexample,0,0,0,,,,,
Odour2.1,7,10,822.4,,,,,
Odour2.2,1,0.2,1110.7,,,,,
Odour2.3,0,0,0,,,,,
Mexample,0,0,0,,,,,
Nexample,0,0,0,,,,,
Oexample,0,0,0,,,,,
Pexample,0,0,0,,,,,
Qexample,0,0,0,,,,,
Odour3.1,8,12.9,1565.4,,,,,
Odour3.2,10,15,1743.9,,,,,
Odour3.3,0,0,0,,,,,
Bexample,0,0,0,,,,,
Cexample,0,0,0,,,,,
Uexample,0,0,0,,,,,
Vexample,0,0,0,,,,,
Wexample,0,0,0,,,,,
Xexample,0,0,0,,,,,
Zexample,0,0,0,,,,,
Change,0,0,0,,,,,
Codes,0,0,0,,,,,
in,0,0,0,,,,,
Configfile,0,0,0,,,,,
