Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,
Odour1.1,17,15.8,227,,,,,
Odour1.2,20,18.4,408.5,,,,,
Odour1.3,13,7.7,610.8,,,,,
Eexample,0,0,0,,,,,
Fexample,0,0,0,,,,,
Gexample,0,0,0,,,,,
Hexample,0,0,0,,,,,
Iexample,0,0,0,,,,,
Odour2.1,20,20.4,815.3,,,,,
Odour2.2,11,16.9,1015.4,,,,,
Odour2.3,12,21.6,1239.2,,,,,2.3 - bit it straight away - pulled through the hopper - time in the hopper/chewing is not counted
Mexample,0,0,0,,,,,
Nexample,0,0,0,,,,,
Oexample,0,0,0,,,,,
Pexample,0,0,0,,,,,
Qexample,0,0,0,,,,,
Odour3.1,14,31.1,1446.2,,,,,
Odour3.2,5,4,1641.7,,,,,
Odour3.3,4,4.9,1834.8,,,,,
Bexample,0,0,0,,,,,
Cexample,0,0,0,,,,,
Uexample,0,0,0,,,,,
Vexample,0,0,0,,,,,
Wexample,0,0,0,,,,,
Xexample,0,0,0,,,,,
Zexample,0,0,0,,,,,
Change,0,0,0,,,,,
Codes,0,0,0,,,,,
in,0,0,0,,,,,
Configfile,0,0,0,,,,,
