Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,
Odour1.1,6,20.5,257,,,
Odour1.2,6,3.7,407.2,,,
Odour1.3,7,19,600.9,,,
Eexample,0,0,0,,,
Fexample,0,0,0,,,
Gexample,0,0,0,,,
Hexample,0,0,0,,,
Iexample,0,0,0,,,"a bit hyper and disorianted at the start, not very engaged throughout"
Odour2.1,13,19.6,805,,,
Odour2.2,8,13.1,1013.8,,,
Odour2.3,3,2.4,1231.1,,,
Mexample,0,0,0,,,
Nexample,0,0,0,,,
Oexample,0,0,0,,,
Pexample,0,0,0,,,
Qexample,0,0,0,,,
Odour3.1,3,1.9,1428.6,,,
Odour3.2,6,5.6,1640.8,,,
Odour3.3,4,4.3,1843.7,,,
Bexample,0,0,0,,,
Cexample,0,0,0,,,
Uexample,0,0,0,,,
Vexample,0,0,0,,,
Wexample,0,0,0,,,
Xexample,0,0,0,,,
Zexample,0,0,0,,,
Change,0,0,0,,,
Codes,0,0,0,,,
in,0,0,0,,,
Configfile,0,0,0,,,
