Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,
Odour1.1,7,8.7,192.8,,,,,
Odour1.2,0,0,0,,,,,
Odour1.3,3,7.6,545.4,,,,,
Eexample,0,0,0,,,,,
Fexample,0,0,0,,,,,1.2 - ignored
Gexample,0,0,0,,,,,2.2 - ignored
Hexample,0,0,0,,,,,3.2 - ignored
Iexample,0,0,0,,,,,3.3 - ignored
Odour2.1,9,42.4,749,,,,,
Odour2.2,0,0,0,,,,,
Odour2.3,3,6,1168.9,,,,,
Mexample,0,0,0,,,,,
Nexample,0,0,0,,,,,
Oexample,0,0,0,,,,,
Pexample,0,0,0,,,,,
Qexample,0,0,0,,,,,
Odour3.1,13,29.2,1389.2,,,,,
Odour3.2,0,0,0,,,,,
Odour3.3,0,0,0,,,,,
Bexample,0,0,0,,,,,
Cexample,0,0,0,,,,,
Uexample,0,0,0,,,,,
Vexample,0,0,0,,,,,
Wexample,0,0,0,,,,,
Xexample,0,0,0,,,,,
Zexample,0,0,0,,,,,
Change,0,0,0,,,,,
Codes,0,0,0,,,,,
in,0,0,0,,,,,
Configfile,0,0,0,,,,,
