Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,
Odour1.1,5,11.2,190.4,,,,,,
Odour1.2,15,22.9,384.2,,,,,,
Odour1.3,10,15.7,523,,,,,,1.1 - not very interested - sits frozen for awhile
Eexample,0,0,0,,,,,,
Fexample,0,0,0,,,,,,
Gexample,0,0,0,,,,,,
Hexample,0,0,0,,,,,,
Iexample,0,0,0,,,,,,
Odour2.1,8,21.4,748.7,,,,,,
Odour2.2,7,7.1,944.1,,,,,,
Odour2.3,2,0.7,1147.2,,,,,,
Mexample,0,0,0,,,,,,
Nexample,0,0,0,,,,,,
Oexample,0,0,0,,,,,,
Pexample,0,0,0,,,,,,
Qexample,0,0,0,,,,,,
Odour3.1,22,22.7,1345.6,,,,,,
Odour3.2,5,2,1560.6,,,,,,
Odour3.3,8,5.3,1755.5,,,,,,
Bexample,0,0,0,,,,,,
Cexample,0,0,0,,,,,,
Uexample,0,0,0,,,,,,
Vexample,0,0,0,,,,,,
Wexample,0,0,0,,,,,,
Xexample,0,0,0,,,,,,
Zexample,0,0,0,,,,,,
Change,0,0,0,,,,,,
Codes,0,0,0,,,,,,
in,0,0,0,,,,,,
Configfile,0,0,0,,,,,,
