Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,
Odour1.1,28,38,89.5,,,,,
Odour1.2,17,22.2,317.9,,,,,
Odour1.3,4,4.7,490.8,,,,,
Eexample,0,0,0,,,,,
Fexample,0,0,0,,,,,
Gexample,0,0,0,,,,,2.2 - ignored
Hexample,0,0,0,,,,,2.3 - ignored
Iexample,0,0,0,,,,,3.3 - ignroed
Odour2.1,8,17.3,684.4,,,,,
Odour2.2,0,0,0,,,,,
Odour2.3,0,0,0,,,,,
Mexample,0,0,0,,,,,
Nexample,0,0,0,,,,,
Oexample,0,0,0,,,,,
Pexample,0,0,0,,,,,
Qexample,0,0,0,,,,,
Odour3.1,13,23.1,1289.8,,,,,
Odour3.2,5,6.1,1465.5,,,,,
Odour3.3,0,0,0,,,,,
Bexample,0,0,0,,,,,
Cexample,0,0,0,,,,,
Uexample,0,0,0,,,,,
Vexample,0,0,0,,,,,
Wexample,0,0,0,,,,,
Xexample,0,0,0,,,,,
Zexample,0,0,0,,,,,
Change,0,0,0,,,,,
Codes,0,0,0,,,,,
in,0,0,0,,,,,
Configfile,0,0,0,,,,,
