Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,
Odour1.1,13,16.2,62.4,,,,
Odour1.2,2,1.4,302.8,,,,
Odour1.3,4,4,474.3,,,,
Eexample,0,0,0,,,,
Fexample,0,0,0,,,,
Gexample,0,0,0,,,,
Hexample,0,0,0,,,,
Iexample,0,0,0,,,,
Odour2.1,13,18.2,623.2,,,,
Odour2.2,1,1.7,896,,,,2.2 - very little interest
Odour2.3,4,8.4,1045.3,,,,3.2 - ignored
Mexample,0,0,0,,,,3.3 - ignored
Nexample,0,0,0,,,,
Oexample,0,0,0,,,,
Pexample,0,0,0,,,,
Qexample,0,0,0,,,,
Odour3.1,5,4.1,1221.8,,,,
Odour3.2,0,0,0,,,,
Odour3.3,0,0,0,,,,
Bexample,0,0,0,,,,
Cexample,0,0,0,,,,
Uexample,0,0,0,,,,
Vexample,0,0,0,,,,
Wexample,0,0,0,,,,
Xexample,0,0,0,,,,
Zexample,0,0,0,,,,
Change,0,0,0,,,,
Codes,0,0,0,,,,
in,0,0,0,,,,
Configfile,0,0,0,,,,
