Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s)
Odour1.1,31,42.8,347.2
Odour1.2,9,7.7,594.4
Odour1.3,5,3.3,784.8
Eexample,0,0,0
Fexample,0,0,0
Gexample,0,0,0
Hexample,0,0,0
Iexample,0,0,0
Odour2.1,22,26.2,1013.1
Odour2.2,4,1.2,1208.5
Odour2.3,17,15.8,1417.4
Mexample,0,0,0
Nexample,0,0,0
Oexample,0,0,0
Pexample,0,0,0
Qexample,0,0,0
Odour3.1,13,13.8,1632.4
Odour3.2,3,1.5,1848.6
Odour3.3,3,1.1,2108.2
Bexample,0,0,0
Cexample,0,0,0
Uexample,0,0,0
Vexample,0,0,0
Wexample,0,0,0
Xexample,0,0,0
Zexample,0,0,0
Change,0,0,0
Codes,0,0,0
in,0,0,0
Configfile,0,0,0
