Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,
Odour1.1,12,29.8,395.8,,,,,,
Odour1.2,8,12,544.4,,,,,,
Odour1.3,0,0,0,,,,,,
Eexample,0,0,0,,,,,,
Fexample,0,0,0,,,,,,
Gexample,0,0,0,,,,,,
Hexample,0,0,0,,,,,,
Iexample,0,0,0,,,,,,
Odour2.1,18,37.4,897.9,,,,,,
Odour2.2,8,10.3,1101.4,,,,,,chubby
Odour2.3,3,3.4,1287.3,,,,,,1.3 - ignored
Mexample,0,0,0,,,,,,3.1 - fell asleep? - ignored
Nexample,0,0,0,,,,,,3.2 - ignored/ asleep/hiccuping?
Oexample,0,0,0,,,,,,
Pexample,0,0,0,,,,,,
Qexample,0,0,0,,,,,,
Odour3.1,0,0,0,,,,,,
Odour3.2,0,0,0,,,,,,
Odour3.3,22,34.5,1907.2,,,,,,
Bexample,0,0,0,,,,,,
Cexample,0,0,0,,,,,,
Uexample,0,0,0,,,,,,
Vexample,0,0,0,,,,,,
Wexample,0,0,0,,,,,,
Xexample,0,0,0,,,,,,
Zexample,0,0,0,,,,,,
Change,0,0,0,,,,,,
Codes,0,0,0,,,,,,
in,0,0,0,,,,,,
Configfile,0,0,0,,,,,,
