Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,
Odour1.1,13,32,958.6,,,,
Odour1.2,13,16.4,1133,,,,
Odour1.3,6,11.2,1342,,,,
Eexample,0,0,0,,,,
Fexample,0,0,0,,,,
Gexample,0,0,0,,,,
Hexample,0,0,0,,,,FAT
Iexample,0,0,0,,,,2.3 - ignored
Odour2.1,10,13.5,1604.8,,,,
Odour2.2,2,1.9,1774.7,,,,
Odour2.3,0,0,0,,,,
Mexample,0,0,0,,,,
Nexample,0,0,0,,,,
Oexample,0,0,0,,,,
Pexample,0,0,0,,,,
Qexample,0,0,0,,,,
Odour3.1,10,29.3,2230.8,,,,
Odour3.2,6,16.5,2406.7,,,,
Odour3.3,6,14.1,2637.3,,,,
Bexample,0,0,0,,,,
Cexample,0,0,0,,,,
Uexample,0,0,0,,,,
Vexample,0,0,0,,,,
Wexample,0,0,0,,,,
Xexample,0,0,0,,,,
Zexample,0,0,0,,,,
Change,0,0,0,,,,
Codes,0,0,0,,,,
in,0,0,0,,,,
Configfile,0,0,0,,,,
