Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,
Odour1.1,21,27.7,76.7,,,
Odour1.2,6,12.1,290,,,
Odour1.3,0,0,0,,,
Eexample,0,0,0,,,
Fexample,0,0,0,,,
Gexample,0,0,0,,,1.3 - ignored
Hexample,0,0,0,,,2.1 - plays with the bud
Iexample,0,0,0,,,2.2 - reaches for the bud a bit
Odour2.1,9,70.5,639.4,,,
Odour2.2,11,51.5,814.5,,,
Odour2.3,9,4.1,990.8,,,
Mexample,0,0,0,,,
Nexample,0,0,0,,,
Oexample,0,0,0,,,
Pexample,0,0,0,,,
Qexample,0,0,0,,,
Odour3.1,5,38.2,1192.4,,,
Odour3.2,7,9.9,1388.2,,,
Odour3.3,18,38.6,1542.6,,,
Bexample,0,0,0,,,
Cexample,0,0,0,,,
Uexample,0,0,0,,,
Vexample,0,0,0,,,
Wexample,0,0,0,,,
Xexample,0,0,0,,,
Zexample,0,0,0,,,
Change,0,0,0,,,
Codes,0,0,0,,,
in,0,0,0,,,
Configfile,0,0,0,,,
