Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,
Odour1.1,22,31.8,130,,,,,
Odour1.2,13,21.5,308.3,,,,,
Odour1.3,4,11.4,507.7,,,,,
Eexample,0,0,0,,,,,
Fexample,0,0,0,,,,,
Gexample,0,0,0,,,,,
Hexample,0,0,0,,,,,
Iexample,0,0,0,,,,,
Odour2.1,10,34.5,737.9,,,,,
Odour2.2,6,8.8,962.4,,,,,
Odour2.3,0,0,0,,,,,
Mexample,0,0,0,,,,,
Nexample,0,0,0,,,,,
Oexample,0,0,0,,,,,2.3 - ignored
Pexample,0,0,0,,,,,3.2 - ignored
Qexample,0,0,0,,,,,3.3 - ignored
Odour3.1,8,9,1345.3,,,,,
Odour3.2,0,0,0,,,,,
Odour3.3,0,0,0,,,,,
Bexample,0,0,0,,,,,
Cexample,0,0,0,,,,,
Uexample,0,0,0,,,,,
Vexample,0,0,0,,,,,
Wexample,0,0,0,,,,,
Xexample,0,0,0,,,,,
Zexample,0,0,0,,,,,
Change,0,0,0,,,,,
Codes,0,0,0,,,,,
in,0,0,0,,,,,
Configfile,0,0,0,,,,,
