Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,,
Odour1.1,30,39.4,138.5,,,,,,,
Odour1.2,14,69.1,321.6,,,,,,,
Odour1.3,9,11.3,537.2,,,,,,,
Eexample,0,0,0,,,,,,,
Fexample,0,0,0,,,,,,,
Gexample,0,0,0,,,,,,,
Hexample,0,0,0,,,,,,,Ignored 2.3
Iexample,0,0,0,,,,,,,
Odour2.1,27,45,755,,,,,,,
Odour2.2,11,15.8,910.8,,,,,,,
Odour2.3,0,0,0,,,,,,,
Mexample,0,0,0,,,,,,,
Nexample,0,0,0,,,,,,,
Oexample,0,0,0,,,,,,,
Pexample,0,0,0,,,,,,,
Qexample,0,0,0,,,,,,,
Odour3.1,10,12.9,1291.4,,,,,,,
Odour3.2,8,12.3,1475.4,,,,,,,
Odour3.3,3,9.6,1690.8,,,,,,,
Bexample,0,0,0,,,,,,,
Cexample,0,0,0,,,,,,,
Uexample,0,0,0,,,,,,,
Vexample,0,0,0,,,,,,,
Wexample,0,0,0,,,,,,,
Xexample,0,0,0,,,,,,,
Zexample,0,0,0,,,,,,,
Change,0,0,0,,,,,,,
Codes,0,0,0,,,,,,,
in,0,0,0,,,,,,,
Configfile,0,0,0,,,,,,,
